date,category,title,url
2010-01-05,equities,KSE amends Listing Regulations,https://www.brecorder.com/news/3716942/kse-amends-listing-regulations-201001051003746
2010-01-05,monetary,Karachi interbank rates,https://www.brecorder.com/news/3716949/karachi-interbank-rates-201001051004005
2010-01-05,equities,KSE index up 50.93 points,https://www.brecorder.com/news/3716950/kse-index-up-5093-points-201001051003750
2010-01-05,forex,THE RUPEE: dollar sharply up,https://www.brecorder.com/news/3717055/the-rupee-dollar-sharply-up-201001051004058
2010-01-05,forex,Pakistan’s case for a gradual rupee adjustment,https://www.brecorder.com/news/40420474/pakistans-case-for-a-gradual-rupee-adjustment
2010-01-04,forex,THE RUPEE: over Rs 5 lost versus dollar in 2009,https://www.brecorder.com/news/3716624/the-rupee-over-rs-5-lost-versus-dollar-in-2009-201001041002808
2010-01-04,forex,Your rupee last week,https://www.brecorder.com/news/3716816/your-rupee-last-week-201001041003000
2010-01-01,equities,KSE to remain closed today,https://www.brecorder.com/news/3715778/kse-to-remain-closed-today-201001011001909
2010-01-01,equities,KSE ends year on negative note,https://www.brecorder.com/news/3715834/kse-ends-year-on-negative-note-201001011001937
2010-01-01,forex,THE RUPEE: year ends on happy note,https://www.brecorder.com/news/3715893/the-rupee-year-ends-on-happy-note-201001011002222
2010-01-01,forex,New Year gift to masses: raise in power and gas tariffs to erode rupee value,https://www.brecorder.com/news/3715950/new-year-gift-to-masses-raise-in-power-and-gas-tariffs-to-erode-rupee-value-201001011002003
2010-01-02,forex,Rupee declines marginally versus dollar,https://www.brecorder.com/news/3716122/rupee-declines-marginally-versus-dollar-201001021002293
2010-01-02,equities,Ghani Gases listed on KSE,https://www.brecorder.com/news/3716187/ghani-gases-listed-on-kse-201001021002358
2010-01-02,equities,Calendar year 2009 saw foreign investors' interest reviving at KSE,https://www.brecorder.com/news/3716197/calendar-year-2009-saw-foreign-investors-interest-reviving-at-kse-201001021002368
2010-01-02,forex,Indian rupee slips,https://www.brecorder.com/news/3716256/indian-rupee-slips-201001021002427
2010-01-06,forex,Indian rupee pares gains,https://www.brecorder.com/news/3717210/indian-rupee-pares-gains-201001061003539
2010-01-03,forex,THE RUPEE: mixed trend on new year,https://www.brecorder.com/news/3716464/the-rupee-mixed-trend-on-new-year-201001031002763
2010-01-03,forex,Your rupee last month,https://www.brecorder.com/news/3716525/your-rupee-last-month-201001031002794
2010-01-10,forex,THE RUPEE: dollar demand continues,https://www.brecorder.com/news/3718861/the-rupee-dollar-demand-continues-201001101005492
2010-01-09,forex,THE RUPEE: dollar hits 85 mark,https://www.brecorder.com/news/3718329/the-rupee-dollar-hits-85-mark-201001091005207
2010-01-07,energy,PPL director resigns,https://www.brecorder.com/news/3717561/ppl-director-resigns-201001071004172
2010-01-07,forex,THE RUPEE: dollar moves up,https://www.brecorder.com/news/3717592/the-rupee-dollar-moves-up-201001071004443
2010-01-07,equities,Aslam Malik & Company included in KSE's panel of auditors,https://www.brecorder.com/news/3717627/aslam-malik--company-included-in-kses-panel-of-auditors-201001071004205
2010-01-07,forex,Indian rupee at 12-week high,https://www.brecorder.com/news/3717681/indian-rupee-at-12-week-high-201001071004257
2010-01-08,equities,UKTI delegation meets managing director KSE,https://www.brecorder.com/news/3717917/ukti-delegation-meets-managing-director-kse-201001081004549
2010-01-08,forex,THE RUPEE: dollar rises further,https://www.brecorder.com/news/3717942/the-rupee-dollar-rises-further-201001081004817
2010-01-08,energy,"Increase in electricity tariff: LHC seeks written reply from Government, Nepra",https://www.brecorder.com/news/3717951/increase-in-electricity-tariff-lhc-seeks-written-reply-from-government-nepra-201001081004566
2010-01-08,forex,Indian rupee at 15-month peak,https://www.brecorder.com/news/3718044/indian-rupee-at-15-month-peak-201001081004643
2010-01-11,forex,THE RUPEE: all round fall on forex market,https://www.brecorder.com/news/3719039/the-rupee-all-round-fall-on-forex-market-201001111005547
2010-01-12,forex,Whats behind the rupee fall?,https://www.brecorder.com/news/2000611/
2010-01-12,monetary,E-Bond trading platform to create liquidity in government securities: SBP chief,https://www.brecorder.com/news/3719237/e-bond-trading-platform-to-create-liquidity-in-government-securities-sbp-chief-201001121006374
2010-01-12,energy,Efforts on to press OGDC to part with Sara West gas field,https://www.brecorder.com/news/3719257/efforts-on-to-press-ogdc-to-part-with-sara-west-gas-field-201001121006384
2010-01-12,forex,Rupee recovers slightly,https://www.brecorder.com/news/3719282/rupee-recovers-slightly-201001121006141
2010-01-12,monetary,SBP launches first E-Bond Trading Platform,https://www.brecorder.com/news/3719389/sbp-launches-first-e-bond-trading-platform-201001121006450
2010-01-16,equities,KSE sees massive inflow of $16.645 million in 15 days,https://www.brecorder.com/news/3720766/kse-sees-massive-inflow-of-16645-million-in-15-days-201001161007651
2010-01-16,monetary,SBP likely to retain key rate at 12.5 percent: monetary policy on January 30,https://www.brecorder.com/news/3720776/sbp-likely-to-retain-key-rate-at-125-percent-monetary-policy-on-january-30-201001161007656
2010-01-16,corporates,(FJFC): FAUJI FERTILIZER BIN QASIM LIMITED - Analysis of Financial Statements Financial Year 2003- Financial Year 2008,https://www.brecorder.com/news/3720927/fjfc-fauji-fertilizer-bin-qasim-limited---analysis-of-financial-statements-financial-year-2003--financial-year-2008-201001161007987
2010-01-16,forex,THE RUPEE: all-round gains,https://www.brecorder.com/news/3720931/the-rupee-all-round-gains-201001161007989
2010-01-13,equities,KSE index loses 18.64 points,https://www.brecorder.com/news/3719646/kse-index-loses-1864-points-201001131006515
2010-01-14,corporates,Fertiliser: FAUJI FERTILIZER COMPANY LIMITED - Analysis of Financial Statements Financial Year 2002 - 2003 Q 2009,https://www.brecorder.com/news/3720169/fertiliser-fauji-fertilizer-company-limited---analysis-of-financial-statements-financial-year-2002---2003-q-2009-201001141007224
2010-01-14,forex,THE RUPEE: dollar moves both ways,https://www.brecorder.com/news/3720173/the-rupee-dollar-moves-both-ways-201001141007226
2010-01-15,equities,Zubyr Soomro elected Chairman KSE,https://www.brecorder.com/news/3720408/zubyr-soomro-elected-chairman-kse-201001151007280
2010-01-15,equities,Late buying propels KSE index,https://www.brecorder.com/news/3720426/late-buying-propels-kse-index-201001151007289
2010-01-15,monetary,SBP starts publishing electronic bond trading data,https://www.brecorder.com/news/3720502/sbp-starts-publishing-electronic-bond-trading-data-201001151007327
2010-01-15,equities,KSE approves revised list of Margin Eligible Securities,https://www.brecorder.com/news/3720510/kse-approves-revised-list-of-margin-eligible-securities-201001151007331
2010-01-15,forex,THE RUPEE: dollar down sharply,https://www.brecorder.com/news/3720567/the-rupee-dollar-down-sharply-201001151007615
2010-01-18,equities,Upbeat KSE higher as new year opens,https://www.brecorder.com/news/2000624/
2010-01-18,forex,THE RUPEE: rates move both ways,https://www.brecorder.com/news/3721533/the-rupee-rates-move-both-ways-201001181008590
2010-01-18,energy,Suspension of gas supply: APBUMA strongly reacts to SNGPL decision,https://www.brecorder.com/news/3721566/suspension-of-gas-supply-apbuma-strongly-reacts-to-sngpl-decision-201001181008623
2010-01-17,forex,Your rupee last half year,https://www.brecorder.com/news/3721181/your-rupee-last-half-year-201001171008569
2010-01-17,equities,"Income Tax Ordinance 2001: two banks, KSE member among top companies accused of violation",https://www.brecorder.com/news/3721184/income-tax-ordinance-2001-two-banks-kse-member-among-top-companies-accused-of-violation-201001171008316
2010-01-17,energy,OGDC board reconstituted,https://www.brecorder.com/news/3721232/ogdc-board-reconstituted-201001171008364
2010-01-19,forex,"THE RUPEE: official, open market rates almost equal",https://www.brecorder.com/news/3721771/the-rupee-official-open-market-rates-almost-equal-201001191009945
2010-01-20,forex,Indian rupee weakens,https://www.brecorder.com/news/3721987/indian-rupee-weakens-201001201010457
2010-01-22,forex,Indian rupee remains down,https://www.brecorder.com/news/3722724/indian-rupee-remains-down-201001221011224
2010-01-22,monetary,Rice procurement: SBP told to manage extra financial limits,https://www.brecorder.com/news/3722863/rice-procurement-sbp-told-to-manage-extra-financial-limits-201001221011067
2010-01-22,energy,"Exploration rights of six blocks granted to OGDCL, PPL and POL",https://www.brecorder.com/news/3722879/exploration-rights-of-six-blocks-granted-to-ogdcl-ppl-and-pol-201001221011075
2010-01-21,forex,Indian rupee drops,https://www.brecorder.com/news/3722340/indian-rupee-drops-201001211010838
2010-01-23,forex,Indian rupee keeps falling,https://www.brecorder.com/news/3723094/indian-rupee-keeps-falling-201001231011603
2010-01-23,equities,Late-hour buying pushes KSE index up,https://www.brecorder.com/news/3723265/late-hour-buying-pushes-kse-index-up-201001231011460
2010-01-25,equities,KSE retailers being duped yet again,https://www.brecorder.com/news/2000640/
2010-01-25,forex,THE RUPEE: bearish trend,https://www.brecorder.com/news/3723788/the-rupee-bearish-trend-201001251012118
2010-01-24,forex,THE RUPEE: all-round slide,https://www.brecorder.com/news/3723575/the-rupee-all-round-slide-201001241012060
2010-01-24,forex,Your rupee last year,https://www.brecorder.com/news/3723634/your-rupee-last-year-201001241012092
2010-01-27,energy,SNGPL mismanaging gas supply to industry: Aptma,https://www.brecorder.com/news/3724393/sngpl-mismanaging-gas-supply-to-industry-aptma-201001271012873
2010-01-26,energy,PPL profits dwindle but hope ahead,https://www.brecorder.com/news/2000642/
2010-01-26,forex,Indian rupee edges,https://www.brecorder.com/news/3724019/indian-rupee-edges-201001261012498
2010-01-26,energy,PPL declares 40 percent dividend,https://www.brecorder.com/news/3724227/ppl-declares-40-percent-dividend-201001261012389
2010-01-29,forex,THE RUPEE: dollar marginally up,https://www.brecorder.com/news/3725245/the-rupee-dollar-marginally-up-201001291013913
2010-01-28,forex,Indian rupee falls to three-week low,https://www.brecorder.com/news/3724886/indian-rupee-falls-to-three-week-low-201001281013329
2010-01-30,forex,THE RUPEE: dollar gains 20 paisa,https://www.brecorder.com/news/3725702/the-rupee-dollar-gains-20-paisa-201001301014319
2010-01-30,energy,Gas load management: PTEA criticises SNGPL for flouting cabinet body decision,https://www.brecorder.com/news/3725748/gas-load-management-ptea-criticises-sngpl-for-flouting-cabinet-body-decision-201001301014091
2010-01-31,forex,THE RUPEE: dollar at 85.05,https://www.brecorder.com/news/3726254/the-rupee-dollar-at-8505-201001311014618
2010-01-31,macro|monetary,"Inflation fears, liquidity constraints major factors: SBP keeps policy rate unchanged at 12.5 percent",https://www.brecorder.com/news/3726255/inflation-fears-liquidity-constraints-major-factors-sbp-keeps-policy-rate-unchanged-at-125-percent-201001311014363
2010-02-01,equities,Returns haven returned to KSE in 2010,https://www.brecorder.com/news/2000658/
2010-02-01,forex,THE RUPEE: dollar hits new high,https://www.brecorder.com/news/3726333/the-rupee-dollar-hits-new-high-201002011014666
2010-02-01,energy,Compressors for Qadirpur gas field: OGDC and SNGPL misleading Ministry,https://www.brecorder.com/news/3726338/compressors-for-qadirpur-gas-field-ogdc-and-sngpl-misleading-ministry-201002011014671
2010-02-02,forex,Indian rupee trims losses,https://www.brecorder.com/news/3726595/indian-rupee-trims-losses-201002021015066
2010-02-03,forex,Indian rupee rises,https://www.brecorder.com/news/3727002/indian-rupee-rises-201002031015475
2010-02-04,forex,Indian rupee strengthens,https://www.brecorder.com/news/3727427/indian-rupee-strengthens-201002041015873
2010-02-04,equities,KSE to remain closed on February 5,https://www.brecorder.com/news/3727501/kse-to-remain-closed-on-february-5-201002041015682
2010-02-04,monetary,"Steps against speculation, dollar smuggling: foreign exchange companies to submit daily report to SBP",https://www.brecorder.com/news/3727591/steps-against-speculation-dollar-smuggling-foreign-exchange-companies-to-submit-daily-report-to-sbp-201002041015727
2010-02-05,forex,THE RUPEE: dollar mixed,https://www.brecorder.com/news/3727830/the-rupee-dollar-mixed-201002051016486
2010-02-05,forex,Indian rupee off two-week highs,https://www.brecorder.com/news/3727907/indian-rupee-off-two-week-highs-201002051016286
2010-02-08,forex,THE RUPEE: rates mixed,https://www.brecorder.com/news/3728919/the-rupee-rates-mixed-201002081018302
2010-02-08,monetary,Purchase of 7.5 million tons of wheat: SBP will ask banks to give credit,https://www.brecorder.com/news/3728922/purchase-of-75-million-tons-of-wheat-sbp-will-ask-banks-to-give-credit-201002081018305
2010-02-07,forex,THE RUPEE: dollar recovers,https://www.brecorder.com/news/3728496/the-rupee-dollar-recovers-201002071018251
2010-02-09,equities,KSE index up 40.25 points,https://www.brecorder.com/news/3729067/kse-index-up-4025-points-201002091018537
2010-02-11,energy,Proposal to scrap German firm deal: SSGC and SNGPL lobbying for Iran gas pipeline consultancy,https://www.brecorder.com/news/3729953/proposal-to-scrap-german-firm-deal-ssgc-and-sngpl-lobbying-for-iran-gas-pipeline-consultancy-201002111019364
2010-02-06,equities,KSE sees fresh inflow of $4.79 million,https://www.brecorder.com/news/3728242/kse-sees-fresh-inflow-of-479-million-201002061017917
2010-02-13,energy,Decommissioning seven gas-based units: Nepra asks KESC to justify proposal,https://www.brecorder.com/news/3730815/decommissioning-seven-gas-based-units-nepra-asks-kesc-to-justify-proposal-201002131020179
2010-02-15,equities,KSE range bound as low caps rule the roost,https://www.brecorder.com/news/2000688/
2010-02-15,forex,THE RUPEE: firm trend,https://www.brecorder.com/news/3731417/the-rupee-firm-trend-201002151020998
2010-02-15,equities,Mixed trend on KSE,https://www.brecorder.com/news/3731431/mixed-trend-on-kse-201002151021012
2010-02-14,forex,THE RUPEE: dollar gains,https://www.brecorder.com/news/3731048/the-rupee-dollar-gains-201002141020743
2010-02-17,equities,Fresh buying lifts KSE index,https://www.brecorder.com/news/3731962/fresh-buying-lifts-kse-index-201002171021627
2010-02-17,forex,THE RUPEE: firmness prevails,https://www.brecorder.com/news/3732099/the-rupee-firmness-prevails-201002171021951
2010-02-16,forex,THE RUPEE: no major change,https://www.brecorder.com/news/3731663/the-rupee-no-major-change-201002161021541
2010-02-16,energy,Industrial sector: SNGPL reverts to two-day gas loadshedding,https://www.brecorder.com/news/3731670/industrial-sector-sngpl-reverts-to-two-day-gas-loadshedding-201002161021289
2010-02-19,forex,THE RUPEE: all-round gain,https://www.brecorder.com/news/3732849/the-rupee-all-round-gain-201002191022710
2010-02-18,equities,KSE index surges by 97.41 points,https://www.brecorder.com/news/3732350/kse-index-surges-by-9741-points-201002181022013
2010-02-18,equities,Rollover issue of futures contracts: KSE seeks approval of SECP,https://www.brecorder.com/news/3732424/rollover-issue-of-futures-contracts-kse-seeks-approval-of-secp-201002181022050
2010-02-20,equities|banking,"HBL declares cash dividend, bonus shares",https://www.brecorder.com/news/3733058/hbl-declares-cash-dividend-bonus-shares-201002201022751
2010-02-23,forex,Indian rupee snaps two-day fall,https://www.brecorder.com/news/3733982/indian-rupee-snaps-two-day-fall-201002231023897
2010-02-23,equities,Government and KSE reach accord on CGT: tax to be charged on two types of holdings,https://www.brecorder.com/news/3734144/government-and-kse-reach-accord-on-cgt-tax-to-be-charged-on-two-types-of-holdings-201002231023742
2010-02-23,energy,OGDC discovers hydrocarbon reserves in Shah Well No 1,https://www.brecorder.com/news/3734166/ogdc-discovers-hydrocarbon-reserves-in-shah-well-no-1-201002231023753
2010-02-22,forex,Rupee depreciation major challenge to auto industry,https://www.brecorder.com/news/3733726/rupee-depreciation-major-challenge-to-auto-industry-201002221023498
2010-02-22,monetary,SBP urged to cut interest rate,https://www.brecorder.com/news/3733747/sbp-urged-to-cut-interest-rate-201002221023519
2010-02-25,energy,OGDC tastes Qadirpur at the earliest,https://www.brecorder.com/news/2000715/
