date,category,title,url
2010-08-27,market_political,Pakistan wants to stay with IMF program: Shaikh,https://www.dawn.com/news/557308/pakistan-wants-to-stay-with-imf-program-shaikh
2010-08-27,equities,"KSE member directors, chairman lock horns over MTS",https://www.dawn.com/news/557300/kse-member-directors-chairman-lock-horns-over-mts-2
2010-10-13,banking,"Three points for Wapda, Army, HBL and PAF in PPFL",https://www.dawn.com/news/571286/wapda-army-hbl-paf-win
2010-10-16,energy,"SSGC, KRL outplay rivals in PPFL",https://www.dawn.com/news/572845/ssgc-krl-outplay-rivals-in-ppfl
2010-10-16,energy,SSGC beat PEL 3-1 to record first win in PPFL,https://www.dawn.com/news/572577/ssgc-beat-pel-3-1-and-record-first-win-in-ppfl
2010-10-20,monetary,SBP submits lists of written off loan beneficiaries,https://www.dawn.com/news/574023/sbp-submits-lists-of-written-off-loan-beneficiaries
2010-10-21,banking,NBP receives Rs 5.24 bln flood donation,https://www.dawn.com/news/574395/nbp-receives-rs-5-24-bln-flood-donation
2010-10-25,banking,"NBP upset Wapda, PAF, Army and KPT score easy wins",https://www.dawn.com/news/575614/asif-scores-twic
2010-10-26,energy,Nomi scores hat-trick as Navy thrash SSGC,https://www.dawn.com/news/575840/nomi-scores-hat-trick-as-navy-thrash-ssgc
2010-10-29,monetary,SC directs SBP to produce details of written-off loans,https://www.dawn.com/news/576777/sc-directs-sbp-to-produce-details-of-written-off-loans
2010-11-02,energy,PSO threatens to stop oil imports,https://www.dawn.com/news/578179/pso-threatens-to-stop-oil-imports-2
2010-11-02,monetary,Flood-hit areas: SBP launches concessional scheme,https://www.dawn.com/news/578103/flood-hit-areas-sbp-launches-concessional-scheme
2010-11-02,energy,Essa slams hat-trick against SSGC in PPFL,https://www.dawn.com/news/577835/essa-slams-hat-trick-in-ppfl
2010-10-31,macro,Punjab Government responsible for unemployment: Elahi,https://www.dawn.com/news/577538/punjab-government-responsible-for-unemployment-elahi
2010-10-31,banking,"Karachi teams, HBL, NBP on top; PIA struggle",https://www.dawn.com/news/577353/karachi-teams-hbl-nbp-on-top-pia-struggl
2010-11-01,banking,Kaneria`s 10-wicket haul helps HBL open account,https://www.dawn.com/news/577604/kaneria-s-10-wicket-haul-helps-hbl-open-account-sbp-also-wi
2010-11-12,macro,Pakistan Oct trade deficit at $1.23 billion,https://www.dawn.com/news/581002/pakistan-oct-trade-deficit-at-1-23-billion
2010-11-15,monetary,Pakistan to announce monetary policy on Nov 29,https://www.dawn.com/news/582234/pakistan-to-announce-monetary-policy-on-nov-29
2010-11-17,banking,Gas pipeline blast at Meezan Chowk Quetta,https://www.dawn.com/news/583026/gas-pipeline-blast-at-meezan-chowk-quetta
2010-11-17,macro,"IMF projects 14pc inflation, 2.75pc GDP growth",https://www.dawn.com/news/583008/imf-projects-14pc-inflation-2-75pc-gdp-growth
2010-11-16,banking,Pakistan's banking sector to withstand modest shocks: Kardar,https://www.dawn.com/news/582633/pakistans-banking-sector-to-withstand-modest-shocks-kardar
2010-11-27,energy,SSGC thrash Young Blood 6-2; PIA defeat PMC Athletico,https://www.dawn.com/news/586142/ssgc-pia-beat-rivals-in-ppfl
2010-11-25,energy,Goals galore as PIA and SSGC thrash opponents in PPFL,https://www.dawn.com/news/585393/pia-ssgc-triump
2010-11-29,macro|monetary,SBP raises rate to rein in inflation,https://www.dawn.com/news/587333/sbp-raises-rate-to-rein-in-inflation-2
2010-11-30,equities|forex,Pakistani stocks close near a 29-month high; rupee firms,https://www.dawn.com/news/587430/pakistani-stocks-close-near-a-29-month-high-rupee-firms
2010-11-30,banking,"Shahid century gives ZTBL huge lead, HBL on top",https://www.dawn.com/news/587258/shahid-century-gives-ztbl-huge-lead-hbl-on-top
2010-12-01,macro|fiscal,Pakistan’s 3-month fiscal deficit at 1.6 pct of GDP,https://www.dawn.com/news/587811/pakistans-3-month-fiscal-deficit-at-1-6-pct-of-gdp
2010-12-03,monetary,SBP awards licence to Sindh Bank,https://www.dawn.com/news/588355/sbp-awards-licence-to-sindh-bank
2010-12-03,monetary,Pakistan’s forex reserves at $16.74 bln: SBP,https://www.dawn.com/news/588311/pakistans-forex-reserves-at-16-74-bln-sbp
2010-12-03,banking,Young Blood and PMC get outclassed 4-1 by NBP and HBL in PPFL,https://www.dawn.com/news/588254/nbp-hbl-beat-rivals-in-ppfl
2010-12-02,fiscal,Parliamentarians want end to Rs600bn corruption in FBR,https://www.dawn.com/news/588116/parliamentarians-want-end-to-rs600bn-corruption-in-fbr
2010-12-02,banking,"Wapda stay top after close shave, HBL, ZTBL also win",https://www.dawn.com/news/588004/wapda-stay-top-after-close-shave-hbl-ztbl-also-win
2010-12-05,banking,"Ayub, Mansoor rescue Sialkot, dream start for HBL",https://www.dawn.com/news/588657/ayub-mansoor-rescue-sialkot-dream-start-for-hbl
2010-12-05,banking,"PIA, HBL and NBP win PPFL games",https://www.dawn.com/news/588629/the-youngster-cup-a-term-race-for-two-year-old-horses-5-f
2010-12-08,banking,HBL go top as Aizaz`s 10-wkt haul helps PIA defeat Wapda,https://www.dawn.com/news/589409/hbl-go-top-as-aizaz-s-10-wkt-haul-helps-pia-defeat-wapda
2010-12-08,banking,"KESC crush HBL, KPT and NBP play draw",https://www.dawn.com/news/589389/kesc-crush-hbl
2010-12-10,fiscal,Punjab students protest educational institutes' privatisation,https://www.dawn.com/news/590028/punjab-students-protest-educational-institutes-privatisation
2010-12-11,energy,Holders KRL overpower SSGC 3-0 in PPFL,https://www.dawn.com/news/590269/krl-overpower-ssgc-3-0-in-ppfl
2010-12-11,banking,"Early advantage for HBL, Umar, Nauman in big stand",https://www.dawn.com/news/590168/early-advantage-for-hbl-umar-nauman-in-big-stan
2010-12-12,energy|banking,"Shan century puts HBL in front, PIA fly high at SNGPL’s expense",https://www.dawn.com/news/590437/shan-century-puts-hbl-in-front-pia-fly-high-at-sngpls-expense
2010-12-14,energy,"Army thrash SSGC, KRL, Wapda triumph",https://www.dawn.com/news/591123/army-krl-wapda-triumph
2010-12-14,macro|monetary,Heavy govt borrowing causes inflation: SBP,https://www.dawn.com/news/591022/heavy-govt-borrowing-causes-inflation-sbp
2010-12-14,banking,"HBL whip Wapda, Sohail slams unbeaten double ton for ZTBL",https://www.dawn.com/news/590893/hbl-whip-wapda-sohail-slams-unbeaten-double-ton-for-ztbl
2010-12-19,banking,Leaders HBL a win away from QEA Trophy final,https://www.dawn.com/news/591905/quaid-i-azam-trophy-hbl-a-win-away-from-final
2010-12-21,energy,Loadshedding for CNG stations in Sindh stayed,https://www.dawn.com/news/592710/loadshedding-for-cng-stations-in-sindh-stayed-2
2010-12-21,banking,"Aizaz’s dozen helps PIA thrash HBL, ZTBL also win",https://www.dawn.com/news/592688/aizazs-dozen-helps-pia-thrash-hbl-ztbl-also-win
2010-12-21,energy,PAF beat ten-man SSGC 2-0 in PPFL,https://www.dawn.com/news/592425/paf-beat-ssgc-in-ppfl-game
2010-12-20,banking,"Aizaz rips through HBL batting, Kamran grabs six catches",https://www.dawn.com/news/592238/aizaz-rips-through-hbl-batting-kamran-grabs-six-catches
2010-12-23,corporates,SC accepts PTCL plea against employees,https://www.dawn.com/news/593248/sc-accepts-ptcl-plea-against-employees-2
2010-12-23,monetary,Banks asked to approach SBP for unpaid claims,https://www.dawn.com/news/593077/banks-asked-to-approach-sbp-for-unpaid-claims-2
2010-12-22,banking,Nine-man NBP hold Navy as Afghan FC gift walkover to PIA,https://www.dawn.com/news/592838/nine-man-nbp-hold-navy-as-afghan-fc-gift-walkover-to-pia
2010-12-27,banking,"NBP poised to beat HBL, PIA take narrow lead",https://www.dawn.com/news/593926/nbp-poised-to-beat-hbl-pia-take-lead
2010-12-27,banking,"PIA claim victory, HBL get walkover after Navy fail to turn up",https://www.dawn.com/news/593902/pia-claim-victory
2010-12-26,banking,"HBL in despair, PIA inch closer towards final",https://www.dawn.com/news/593638/hbl-in-despair-pia-inch-closer-towards-final
2010-12-28,banking,Rawalpindi move into second spot as NBP rout HBL,https://www.dawn.com/news/594152/rawalpindi-move-into-second-spot-as-nbp-rout-hbl
2010-12-29,equities|forex,Pakistani stocks up as banks post gains; rupee eases,https://www.dawn.com/news/594576/pakistani-stocks-up-as-banks-post-gains-rupee-eases
2010-12-31,banking,HBL battle for survival to reach Division One final,https://www.dawn.com/news/595049/krl-meet-state-bank-in-division-two-final-hbl-battle-for-survival-to-reach-division-one-final
2011-01-03,banking,HBL reach Division One final after weather disruption,https://www.dawn.com/news/595939/hbl-reach-final
2011-01-06,energy,Clinton says Pakistan fuel price move a ‘mistake’,https://www.dawn.com/news/596721/us-opposed-to-pakistan-fuel-price-hike-switch
2011-01-06,monetary,Naved`s pace helps SBP qualify for top division,https://www.dawn.com/news/596624/naveds-pace-helps-sbp-qualify-for-top-division
2011-01-08,equities,Karachi’s unrest a conspiracy to fail ‘blasphemy rally’: Fazl,https://www.dawn.com/news/597055/karachis-unrest-a-conspiracy-to-fail-blasphemy-rally-fazl
2011-01-10,macro,Pakistan December CPI seen up 16 per cent,https://www.dawn.com/news/597600/pakistan-dec-cpi-seen-up-16-per-cent
2011-01-12,monetary,Pakistan to announce monetary policy on Jan 29,https://www.dawn.com/news/598129/pakistan-to-announce-monetary-policy-on-jan-29
2011-01-11,macro,Pakistan Dec trade deficit widens to $1.62 bln,https://www.dawn.com/news/597874/pakistan-dec-trade-deficit-widens-to-1-62-bln
2011-01-14,banking,Imran's century helps HBL secure lead in final,https://www.dawn.com/news/598704/imrans-century-helps-hbl-secure-lead-in-final
2011-01-14,energy,Pepco blames PSO for power crisis,https://www.dawn.com/news/598665/pepco-blames-pso-for-power-crisis-2
2011-01-13,banking,Kamran keeps PIA flying after Kaneria’s 4-66 for HBL,https://www.dawn.com/news/598474/icc-gm-operations-richardson-also-watches-history-unfold-kamran-keeps-pia-flying-on-first-day-of-quaid-trophy-final
2011-01-15,banking,HBL in sight of title as PIA batting crumbles again,https://www.dawn.com/news/598942/quaid-trophy-division-one-final-hbl-in-sight-of-title-as-pia-batting-crumbles-again
2011-01-15,fiscal,Govt in state of fiscal emergency: FBR,https://www.dawn.com/news/598908/govt-in-state-of-fiscal-emergency-fbr-2
2011-01-16,banking,Final poised for pulsating finish after PIA set HBL tricky target,https://www.dawn.com/news/599251/quaid-trophy-final-poised-for-pulsating-finish
2011-01-17,macro,Rising inflation cripples equine sports in Lahore,https://www.dawn.com/news/599442/rising-inflation-cripples-equine-sports-in-lahore
2011-01-20,macro,Raging inflation adds to Pakistan’s woes,https://www.dawn.com/news/600160/raging-inflation-adds-to-pakistans-long-list-of-woes
2011-01-22,fiscal,FBR's new list may lead to suspension of taxpayers,https://www.dawn.com/news/600620/fbrs-new-list-may-lead-to-suspension-of-taxpayers
2011-01-23,energy,"Power firms hit out at PSO, threaten to invoke guarantees",https://www.dawn.com/news/601019/power-firms-hit-out-at-pso-threaten-to-invoke-guarantees
2011-01-24,market_political,Altaf calls for martial law in Punjab,https://www.dawn.com/news/601294/altaf-calls-for-martial-law-in-punjab-2
2011-01-24,banking,Imran Farhat to lead HBL in first game of One-day Cup,https://www.dawn.com/news/601195/imran-farhat-to-lead-hbl-in-first-game-in-one-day-cup
2011-01-29,monetary,Pakistan keeps interest rate unchanged,https://www.dawn.com/news/602342/pakistan-keeps-interest-rate-unchanged
2011-01-29,macro,Pakistan’s double-digit inflation and policy responses,https://www.dawn.com/news/602324/pakistans-double-digit-inflation-and-policy-responses
2011-01-31,energy,"PIA, Wapda and SSGC earn hard victories",https://www.dawn.com/news/602927/pia-wapda-and-ssgc-earn-hard-victories
2011-02-01,energy,Nepra allows KESC to hike tariff,https://www.dawn.com/news/603197/nepra-allows-kesc-to-hike-tariff
2011-02-01,energy,Navy edge PTV; Salman Akbar suspended in Wapda-SSGC clash,https://www.dawn.com/news/603124/four-matches-decided-in-national-hockey
