date,sentiment_corporate,sentiment_energy,sentiment_forex,sentiment_macro,news_count
2010-01-01,-0.473,0.0,0.3158,0.0,4
2010-01-02,0.4688,0.0,-0.9503,0.0,3
2010-01-03,0.3282,0.0,-0.2882,0.0,2
2010-01-04,0.2297,0.0,0.0966,0.0,2
2010-01-05,0.4014,0.0,-0.1815,0.0055,5
2010-01-06,0.2809,0.0,-0.1452,0.0047,0
2010-01-07,0.0158,-0.7496,0.8923,0.004,3
2010-01-08,0.0037,0.7396,0.8663,0.0034,3
2010-01-09,0.0026,0.5177,0.6595,0.0029,1
2010-01-10,0.0018,0.3624,0.3418,0.0024,1
2010-01-11,0.0013,0.2537,-0.943,0.0021,1
2010-01-12,0.0009,0.7539,-0.2182,0.1154,5
2010-01-13,-0.9401,0.5277,-0.1745,0.0981,1
2010-01-14,-0.013,0.3694,0.1113,0.0834,2
2010-01-15,0.2932,0.2586,-0.9087,-0.008,5
2010-01-16,0.3571,0.181,0.3114,0.0362,4
2010-01-17,-0.6605,-0.0209,0.0506,0.0308,3
2010-01-18,0.8637,0.6664,0.0481,0.0262,3
2010-01-19,0.6046,0.4665,0.0543,0.0222,1
2010-01-20,0.4232,0.3265,0.0434,0.0189,0
2010-01-21,0.2962,0.2286,0.0348,0.0161,0
2010-01-22,0.2074,0.1085,0.0278,-0.0165,2
2010-01-23,0.9133,0.0759,0.0222,-0.014,1
2010-01-24,0.6393,0.0532,0.1188,-0.0119,2
2010-01-25,-0.8665,0.0372,-0.8569,-0.0101,2
2010-01-26,-0.6066,0.0228,-0.6855,-0.0086,2
2010-01-27,-0.4246,-0.8668,-0.5484,-0.0073,1
2010-01-28,-0.2972,-0.6068,-0.4387,-0.0062,0
2010-01-29,-0.208,-0.4247,0.7813,-0.0053,1
2010-01-30,-0.1456,-0.9426,0.8697,-0.0045,2
2010-01-31,-0.1019,-0.6598,-0.0161,0.021,2
2010-02-01,0.0632,0.0249,0.8688,0.0178,3
2010-02-02,0.0442,0.0174,0.695,0.0152,0
2010-02-03,0.031,0.0122,0.556,0.0129,0
2010-02-04,-0.0129,0.0085,0.4448,0.0294,2
2010-02-05,-0.009,0.006,0.0383,0.025,1
2010-02-06,0.9043,0.0042,0.0306,0.0212,1
2010-02-07,0.633,0.0029,0.7295,0.0181,1
2010-02-08,0.4431,0.0021,0.0326,0.102,2
