date,sentiment_score,article_count,positive_count,negative_count,neutral_count,sentiment_label,macro_pakistan_score,psx_market_score,energy_oil_score,banking_finance_score,geopolitical_global_score,political_stability_score,pakistani_media_score,international_media_pakistan_score,psx_official_corporate_score,sector_specific_score
2010-01-01,0.0,0,0,0,0,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-02,0.0,0,0,0,0,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-03,0.0,0,0,0,0,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-04,-0.13107500000000002,4,0,1,3,neutral,0.0,0.0,-0.0228,0.0,0.0,0.0,0.2054,-0.6841,0.0,0.0
2010-01-05,-0.13107500000000002,0,0,0,0,neutral,0.0,0.0,-0.0228,0.0,0.0,0.0,0.2054,-0.6841,0.0,0.0
2010-01-06,-0.2624,2,0,1,1,negative,0.0,0.0,-0.0228,0.0,0.0,0.0,0.2054,-0.2624,0.0,0.0
2010-01-07,-0.2624,0,0,0,0,negative,0.0,0.0,-0.0228,0.0,0.0,0.0,0.2054,-0.2624,0.0,0.0
2010-01-08,0.12,1,0,0,1,neutral,0.0,0.0,-0.0228,0.0,0.0,0.0,0.2054,0.12,0.0,0.0
2010-01-09,0.12,0,0,0,0,neutral,0.0,0.0,-0.0228,0.0,0.0,0.0,0.2054,0.12,0.0,0.0
2010-01-10,0.12,0,0,0,0,neutral,0.0,0.0,-0.0228,0.0,0.0,0.0,0.2054,0.12,0.0,0.0
2010-01-11,0.33925,2,0,0,2,neutral,0.3024,0.0,-0.0228,0.0,0.0,0.0,0.2054,0.3761,0.0,0.0
2010-01-12,0.0512,2,0,0,2,neutral,0.1212,0.0,-0.0228,0.0,0.0,0.0,0.2054,-0.0188,0.0,0.0
2010-01-13,0.05235,2,0,0,2,neutral,0.1212,0.0,-0.0228,0.0,0.0,0.0,0.0246,0.0801,0.0,0.0
2010-01-14,0.05235,0,0,0,0,neutral,0.1212,0.0,-0.0228,0.0,0.0,0.0,0.0246,0.0801,0.0,0.0
2010-01-15,-0.019,1,0,0,1,neutral,0.1212,0.0,-0.0228,0.0,0.0,0.0,0.0246,-0.019,0.0,0.0
2010-01-16,-0.019,0,0,0,0,neutral,0.1212,0.0,-0.0228,0.0,0.0,0.0,0.0246,-0.019,0.0,0.0
2010-01-17,-0.019,0,0,0,0,neutral,0.1212,0.0,-0.0228,0.0,0.0,0.0,0.0246,-0.019,0.0,0.0
2010-01-18,0.1224,2,0,0,2,neutral,0.1212,0.0,0.0227,0.0,0.0,0.0,0.2221,-0.019,0.0,0.0
2010-01-19,0.1224,0,0,0,0,neutral,0.1212,0.0,0.0227,0.0,0.0,0.0,0.2221,-0.019,0.0,0.0
2010-01-20,0.029,1,0,0,1,neutral,0.1212,0.0,0.0227,0.0,0.0,0.0,0.2221,0.029,0.0,0.0
2010-01-21,0.029,0,0,0,0,neutral,0.1212,0.0,0.0227,0.0,0.0,0.0,0.2221,0.029,0.0,0.0
2010-01-22,-0.3302,1,0,0,1,neutral,0.1212,0.0,0.0227,0.0,0.0,0.0,0.2221,-0.3302,0.0,0.0
2010-01-23,-0.3302,0,0,0,0,neutral,0.1212,0.0,0.0227,0.0,0.0,0.0,0.2221,-0.3302,0.0,0.0
2010-01-24,-0.3302,0,0,0,0,neutral,0.1212,0.0,0.0227,0.0,0.0,0.0,0.2221,-0.3302,0.0,0.0
2010-01-25,0.048350000000000004,2,0,0,2,neutral,0.0824,0.0,0.0143,0.0,0.0,0.0,0.2221,-0.3302,0.0,0.0
2010-01-26,-0.0034,1,0,0,1,neutral,0.0824,0.0,0.0143,0.0,0.0,0.0,0.2221,-0.0034,0.0,0.0
2010-01-27,0.49305,2,1,0,1,positive,0.0824,0.0,0.0749,0.0,0.0,0.0,0.9112,-0.0034,0.0,0.0
2010-01-28,0.0275,2,0,0,2,neutral,0.0824,0.0,0.031,0.0,0.0,0.0,0.9112,0.024,0.0,0.0
2010-01-29,0.0934,1,0,0,1,neutral,0.0824,0.0,0.0934,0.0,0.0,0.0,0.9112,0.024,0.0,0.0
2010-01-30,0.0934,0,0,0,0,neutral,0.0824,0.0,0.0934,0.0,0.0,0.0,0.9112,0.024,0.0,0.0
2010-01-31,0.0934,0,0,0,0,neutral,0.0824,0.0,0.0934,0.0,0.0,0.0,0.9112,0.024,0.0,0.0
2010-02-01,-0.261675,4,0,2,2,negative,0.0824,0.0,0.0233,0.0,0.0,0.0,0.0516,-0.5608,0.0,0.0
2010-02-02,0.0121,1,0,0,1,neutral,0.0824,0.0,0.0121,0.0,0.0,0.0,0.0516,-0.5608,0.0,0.0
2010-02-03,-0.10439999999999999,2,0,0,2,neutral,0.0824,0.0,0.0121,0.0,0.0,0.0,0.0516,-0.10439999999999999,0.0,0.0
2010-02-04,0.13205,2,0,0,2,neutral,0.0824,0.0,0.13205,0.0,0.0,0.0,0.0516,-0.10439999999999999,0.0,0.0
2010-02-05,0.13205,0,0,0,0,neutral,0.0824,0.0,0.13205,0.0,0.0,0.0,0.0516,-0.10439999999999999,0.0,0.0
2010-02-06,0.13205,0,0,0,0,neutral,0.0824,0.0,0.13205,0.0,0.0,0.0,0.0516,-0.10439999999999999,0.0,0.0
2010-02-07,0.13205,0,0,0,0,neutral,0.0824,0.0,0.13205,0.0,0.0,0.0,0.0516,-0.10439999999999999,0.0,0.0
2010-02-08,-0.14495,2,0,1,1,negative,0.0824,0.0,0.284,0.0,0.0,0.0,0.0516,-0.5739,0.0,0.0
2010-02-09,0.0327,1,0,0,1,neutral,0.0824,0.0,0.284,0.0,0.0,0.0,0.0327,-0.5739,0.0,0.0
2010-02-10,-0.44584999999999997,2,0,1,1,negative,0.0824,0.0,0.284,0.0,0.0,0.0,0.0327,-0.44584999999999997,0.0,0.0
2010-02-11,0.1297,1,0,0,1,neutral,0.0824,0.0,0.284,0.0,0.0,0.0,0.0327,0.1297,0.0,0.0
2010-02-12,0.1297,0,0,0,0,neutral,0.0824,0.0,0.284,0.0,0.0,0.0,0.0327,0.1297,0.0,0.0
2010-02-13,0.1297,0,0,0,0,neutral,0.0824,0.0,0.284,0.0,0.0,0.0,0.0327,0.1297,0.0,0.0
2010-02-14,0.1297,0,0,0,0,neutral,0.0824,0.0,0.284,0.0,0.0,0.0,0.0327,0.1297,0.0,0.0
2010-02-15,-0.3035,1,0,0,1,neutral,0.0824,0.0,0.284,0.0,0.0,0.0,0.0327,-0.3035,0.0,0.0
2010-02-16,0.01785,2,0,0,2,neutral,0.0824,0.0,0.284,0.0,0.0,0.0,0.0327,0.01785,0.0,0.0
2010-02-17,0.01785,0,0,0,0,neutral,0.0824,0.0,0.284,0.0,0.0,0.0,0.0327,0.01785,0.0,0.0
2010-02-18,0.207225,4,1,0,3,neutral,0.0824,0.0,0.0316,0.8922,0.0,0.0,0.0327,-0.04745,0.0,0.0
2010-02-19,0.207225,0,0,0,0,neutral,0.0824,0.0,0.0316,0.8922,0.0,0.0,0.0327,-0.04745,0.0,0.0
2010-02-20,0.207225,0,0,0,0,neutral,0.0824,0.0,0.0316,0.8922,0.0,0.0,0.0327,-0.04745,0.0,0.0
2010-02-21,0.207225,0,0,0,0,neutral,0.0824,0.0,0.0316,0.8922,0.0,0.0,0.0327,-0.04745,0.0,0.0
2010-02-22,-0.46776666666666666,3,0,2,1,negative,0.0824,0.0,0.0316,0.8922,0.0,0.0,0.0327,-0.46776666666666666,0.0,0.0
2010-02-23,-0.663,1,0,1,0,negative,0.0824,0.0,0.0316,0.8922,0.0,0.0,0.0327,-0.663,0.0,0.0
2010-02-24,0.042,1,0,0,1,neutral,0.0824,0.0,0.0316,0.8922,0.0,0.0,0.042,-0.663,0.0,0.0
2010-02-25,0.4331,1,0,0,1,neutral,0.0824,0.0,0.0316,0.8922,0.0,0.0,0.042,0.4331,0.0,0.0
2010-02-26,-0.1916,1,0,0,1,neutral,0.0824,0.0,0.0316,0.8922,0.0,0.0,0.042,-0.1916,0.0,0.0
2010-02-27,-0.1916,0,0,0,0,neutral,0.0824,0.0,0.0316,0.8922,0.0,0.0,0.042,-0.1916,0.0,0.0
2010-02-28,-0.1916,0,0,0,0,neutral,0.0824,0.0,0.0316,0.8922,0.0,0.0,0.042,-0.1916,0.0,0.0
2010-03-01,0.235625,4,1,0,3,neutral,0.0824,0.0,0.26975000000000005,0.8922,0.0,0.0,0.042,0.20149999999999998,0.0,0.0
2010-03-02,0.3164,1,0,0,1,neutral,0.0824,0.0,0.26975000000000005,0.8922,0.0,0.0,0.042,0.3164,0.0,0.0
2010-03-03,-0.11760000000000001,2,0,0,2,neutral,0.0824,0.0,-0.1198,0.8922,0.0,0.0,0.042,-0.1154,0.0,0.0
2010-03-04,-0.3536,1,0,0,1,neutral,0.0824,0.0,-0.1198,0.8922,0.0,0.0,0.042,-0.3536,0.0,0.0
2010-03-05,0.01265,2,0,0,2,neutral,0.0824,0.0,0.0518,0.8922,0.0,0.0,0.042,-0.0265,0.0,0.0
2010-03-06,0.01265,0,0,0,0,neutral,0.0824,0.0,0.0518,0.8922,0.0,0.0,0.042,-0.0265,0.0,0.0
2010-03-07,0.01265,0,0,0,0,neutral,0.0824,0.0,0.0518,0.8922,0.0,0.0,0.042,-0.0265,0.0,0.0
2010-03-08,-0.274075,4,0,2,2,negative,0.4082,0.0,0.0518,0.8922,0.0,0.0,0.042,-0.5015,0.0,0.0
2010-03-09,-0.274075,0,0,0,0,negative,0.4082,0.0,0.0518,0.8922,0.0,0.0,0.042,-0.5015,0.0,0.0
2010-03-10,0.1749,1,0,0,1,neutral,0.4082,0.0,0.0518,0.8922,0.0,0.0,0.1749,-0.5015,0.0,0.0
2010-03-11,0.1749,0,0,0,0,neutral,0.4082,0.0,0.0518,0.8922,0.0,0.0,0.1749,-0.5015,0.0,0.0
2010-03-12,0.176,1,0,0,1,neutral,0.4082,0.0,0.0518,0.8922,0.0,0.0,0.1749,0.176,0.0,0.0
2010-03-13,0.176,0,0,0,0,neutral,0.4082,0.0,0.0518,0.8922,0.0,0.0,0.1749,0.176,0.0,0.0
2010-03-14,0.176,0,0,0,0,neutral,0.4082,0.0,0.0518,0.8922,0.0,0.0,0.1749,0.176,0.0,0.0
2010-03-15,0.0231,1,0,0,1,neutral,0.4082,0.0,0.0518,0.8922,0.0,0.0,0.0231,0.176,0.0,0.0
2010-03-16,0.05425000000000001,2,0,0,2,neutral,0.0352,0.0,0.0518,0.8922,0.0,0.0,0.0231,0.0733,0.0,0.0
2010-03-17,0.0649,1,0,0,1,neutral,0.0352,0.0,0.0649,0.8922,0.0,0.0,0.0231,0.0733,0.0,0.0
2010-03-18,0.8913,1,1,0,0,positive,0.8913,0.0,0.0649,0.8922,0.0,0.0,0.0231,0.0733,0.0,0.0
