date,hour,title,category,source,url
2010-01-11,8,Microfinance helps poor families build safer housing in Pakistan - Aga Khan Development Network,macro_pakistan,Aga Khan Development Network,https://news.google.com/rss/articles/CBMivAFBVV95cUxPTGFWMklacWcxZlFFVm1JemN6Q2paMTQ2M2hhUlM1ZFlsNjlNN0FoUDRqeUNPX1ZIUWpnRmRlWmw3eUVLSDJVVGZ2N3FIaFhsYUZ2UEp3clVWOEJJUEU4VVc3dnJKazJEamllbjR3VWRvcThMQzIyV0NiRTEzd21neW9IcHMxNHc2MndWaFYyN2xta19CMlRTeFczM2NfdXlEbkZROFZfZjNuemFmc19YN2liQUlsSG55SWNMWg?oc=5
2010-01-23,8,Pakistani Political Saga: A Tale of Twin Cities - The Hoya,political_stability,The Hoya,https://news.google.com/rss/articles/CBMifEFVX3lxTE4yLUVLb1FaUWNuZHpWYUpZYlo2d1VFeDVNNjFpZXpsXzZneDBrQnNCSEN6UG0wOFRWNkxfSEpDR0lxTHpLbjZZaXQ0MUJzemRud1JmTmxjZW1jZ3RPVTRzWFNyQmVnQWIyUFhZV3dnZGwxOUtVWnNRVUZTbl8?oc=5
2010-04-07,7,China wants India-like civil nuclear energy pact for Pakistan: PM - Dunya News,political_stability,Dunya News,https://news.google.com/rss/articles/CBMipwFBVV95cUxPcXhGcnVZaXNIN2JiS2kwY1hNZHJuYkxJNUVRby1FMGhuZVQ4NGJ2QVVnOHhGbDd1VHhLbW8wVG41cFlhYzdROTltOXkxaHVjTDNCQ01OdGhwTjctRXBqMmN1V0pUbWZFRXBXTHg3aVpBRWlxT1dtOXprR080azk2Q250OUxHSEJrazBTR2VHcWd4YU1JMzh5RFNFRlE4Y3FGZkdDMFV5Zw?oc=5
2010-04-19,7,The 18th Amendment and Pakistan’s Political Transitions - Center for American Progress,political_stability,Center for American Progress,https://news.google.com/rss/articles/CBMinAFBVV95cUxPdUVEZU5VWTlBanpVbmk4M0NKZ1pRWkw4NFdXcEtDV19EMG1PY1BXQjViSUJHeHlGODFQUEdONTNWMnF4cHdkLWxIaVpKRnhyRFltbFJhaE1iQVJhOUJGWklRMWl3Ym1tVUlGQWRTdnlNM2Z2Sjh5Vmh1OUNQU2hvQmRMZEFwbzc1djFvY3NFcmlOXzlUOHh1cllOT0I?oc=5
2010-04-26,7,We Have Met the Enemy and He Is PowerPoint (Published 2010) - The New York Times,political_stability,The New York Times,https://news.google.com/rss/articles/CBMiakFVX3lxTFBLRFVkRnUwQmtQaXhjWjhUME5EZ3pKNXZuY3NSb1RnWTNEZkZ6Wnc3TUhCN0VFZklGbUoyaE5rNElveHlXb1k2RkI0RnNhX2dTZUlpdGFHaTduS2FwLU1kSFpXQzZzOWF4OVE?oc=5
2010-04-27,7,"Pakistanis Living on Brink, and Often in the Dark - Wilmington Star-News",political_stability,Wilmington Star-News,https://news.google.com/rss/articles/CBMitAFBVV95cUxQLUNlOExnTHc0ZjdFMy1pdjZoZ1RoYzZpbXcyNjRwSG5BVmdwZzBoYThvVVlCSmFsN2YxYTltblVYMnpacHdRRVktNVZPZVYwQkQ5U3U1RHBXeTRvQnR6bFoxcHZxRG1TYjlHeV9ZS3pEejBSRFMyNnZnY2xPOS1JRDlpWXdxYVVTRzlOay1TTnpTdGFCb1FxdTliZFVBa2JCc2pPUUxQUjdDZHk5d2dyQVdpc2k?oc=5
2010-05-01,7,Chasing the UK vote in Pakistan's 'Little Britain' - BBC,political_stability,BBC,https://news.google.com/rss/articles/CBMieEFVX3lxTFBrMWExZlo5aVE3UTBlOW1pQ2Vta080XzR3dFlza0xVYXhPdV84bk0zeHJsNFNINWgyeTEzSjQ3Rzh5Y05CMHpHbDhzeTVmZDY2MGY3ZU9aajhTbkh3MXRkcGpQXzhhbHctVjFYVlRYQUhTLWVHdmZ6bA?oc=5
2010-05-21,7,"Think local, act local | India News - Hindustan Times",political_stability,Hindustan Times,https://news.google.com/rss/articles/CBMinAFBVV95cUxORDRUSW1pU0IyZzRqcUNRNkpkYkFXWWJEUnViUTM3MlpKNkVVSXlmUXRrdGNrdDNKWTZubjdCZTRwVGwtUTM3eE9mWXRGY1hBLWxfdVo2ay00ZHh3bkFEUGtaWTVjTDhuYWk3aEVoajFtYVhPbEQ0LUdyNldaZ05pRTFETE9JSE9ZcnhuUkF1YzVEUmNGcUsybWlsSnDSAZwBQVVfeXFMTjFjWjU1dGYyWDVYY1k4Z3FILXJUNHJfc0ZYVExvNzJ6RVVCRDdCa3JlNDFoN3JGSXppVWRqR0VWb2YxaEdUSWQyaEJxc19GRHNPOUNlYTl6TVZhOFNPczhTSC1xajVieXdtSUI2enk0U1hzVHdJWmFWVmNmV1ljM21kUkU2Q3FhLTk0RG9jeUlhZGdIOGMzdjNjMVhf?oc=5
2010-06-01,7,Pakistani Paradoxes - Atlantic Council,political_stability,Atlantic Council,https://news.google.com/rss/articles/CBMif0FVX3lxTE5rN3ZGbGFEVU4wSnAwNEZrZHhCdmhWdm9wb2pNZjExcnpNNWh5ZFRXYWh6Sy1XUXA3TzJQYmhQbDREbzNxZ2d2VnBKTzQ1REUwQWVCMmh6RU9PNU14M0txVFEybjEzaTBDdExIZ2s1cmtobDV6dGpVUEFTNFNxRTg?oc=5
2010-06-01,7,KSE offers investors in bankrupt brokerage house peanuts - The Express Tribune,pakistani_media,The Express Tribune,https://news.google.com/rss/articles/CBMilgFBVV95cUxQNkoxd1JYRDY4R3c3RWlHYVE4Wmp1Uk81anBZa0lBUHZ4cEVBUjZBalBtUFZHWEZQdmlhWldSNTl2VDQ2YU1ISnNBcFh4d3d0REE1ZzFHaGhPY2ZjNTRXSi15N3Z2bzJFUW51eWUwdVJIQ2ZKenBUQXVIMEtJVDhUYWU3OURuc3ZXWWhoWHhSVWlNa096SkHSAZ4BQVVfeXFMTkZVM2EwaWZhcW1CVEg3bkZKd1ZQejN0TElNZjl2cXB3U09FUGYyQzVhb1hIYWN2LXpTYm1ZNk4tOGdIYVQ2RTBOZUNJZTNON2pGemQweGowMEZPNE85RU1RUDlxVko2WHQwSVo0UWdnampRNjgxSmp4WWJMQzdKUDJZVC1kbEpBT1YzT3ZMRVo3LUlqZlNiTUt5bWdKZXc?oc=5
