date,category,title,url
2010-01-02,general_market,Punjab govt lifts market closure timing restrictions until June 1,https://www.dawn.com/news/2000486/punjab-govt-lifts-market-closure-timing-restrictions-until-june-1
2010-01-02,fiscal,IMF highlights ‘Gulf exposure’ as biggest external risk for Pakistan,https://www.dawn.com/news/2000334/imf-highlights-gulf-exposure-as-biggest-external-risk-for-pakistan
2010-08-13,general_market,"Pakistan, England plan fund-raiser for flood victims",https://www.dawn.com/news/813379/pakistan-england-plan-fund-raiser-for-flood-victims
2010-08-16,macro,Food-related inflation,https://www.dawn.com/news/813386/food-related-inflation
2010-08-25,fiscal,Pakistan can adjust current program or opt out: IMF,https://www.dawn.com/news/556487/pakistan-can-adjust-current-program-or-opt-out-imf
2010-08-27,monetary,Govt raises Rs83bn in T-bill auctions,https://www.dawn.com/news/557321/govt-raises-rs83bn-in-t-bill-auctions-3
2010-08-27,fiscal,Pakistan wants to stay with IMF program: Shaikh,https://www.dawn.com/news/557308/pakistan-wants-to-stay-with-imf-program-shaikh
2010-08-27,market_political,Pakistan wants to stay with IMF program: Shaikh,https://www.dawn.com/news/557308/pakistan-wants-to-stay-with-imf-program-shaikh
2010-08-27,fiscal,IMF may ease existing loan terms,https://www.dawn.com/news/557307/imf-may-ease-existing-loan-terms
2010-08-27,monetary,Govt raises Rs83bn in T-bill auctions,https://www.dawn.com/news/557306/govt-raises-rs83bn-in-t-bill-auctions-2
2010-08-27,fiscal,Privatisation Commission mulling public offerings,https://www.dawn.com/news/557304/privatisation-commission-mulling-public-offerings
2010-08-27,equities,"KSE member directors, chairman lock horns over MTS",https://www.dawn.com/news/557300/kse-member-directors-chairman-lock-horns-over-mts-2
2010-09-04,equities,Suicide bomber strikes Al Quds rally; at least 56 killed,https://www.dawn.com/news/560121/suicide-bomber-strikes-al-quds-rally-at-least-56-killed
2010-09-09,macro,Kardar faces task to cool inflation,https://www.dawn.com/news/561970/kardar-faces-task-to-cool-inflation-2
2010-10-04,fiscal,Govt studying future plan without IMF,https://www.dawn.com/news/568052/govt-studying-future-plan-without-imf-2
2010-10-11,general_market,Pakistan’s rice exports seen lower on flood damage-trade,https://www.dawn.com/news/570708/pakistans-rice-exports-seen-lower-on-flood-damage-trade
2010-10-12,fiscal,Asia facing worsening water crisis: Asian Development Bank,https://www.dawn.com/news/571106/asia-facing-worsening-water-crisis-adb
2010-10-12,general_market,EU to urge trade breaks to help Pakistan,https://www.dawn.com/news/571095/eu-to-urge-trade-breaks-to-help-pakistan
2010-10-14,general_market,Pakistan’s central bank sells 48 bln rupees of T-bills,https://www.dawn.com/news/571759/pakistans-central-bank-sells-48-bln-rupees-of-t-bills
2010-10-13,general_market,"Pakistan, Russia resume economic cooperation",https://www.dawn.com/news/571405/pakistan-and-russia-resume-economic-cooperation-after-25-years
2010-10-13,banking,"Three points for Wapda, Army, HBL and PAF in PPFL",https://www.dawn.com/news/571286/wapda-army-hbl-paf-win
2010-10-15,general_market,Pakistan to press on with tax reforms after floods,https://www.dawn.com/news/572155/pakistan-to-press-on-with-tax-reforms-after-floods
2010-10-15,general_market,"Global forum to take hard look at Pakistan reforms, aid",https://www.dawn.com/news/572126/global-forum-to-take-hard-look-at-pakistan-reforms-aid
2010-10-15,general_market,Pakistani July-Sept foreign investment falls 28.5 pct,https://www.dawn.com/news/572120/pakistani-july-sept-foreign-investment-falls-28-5-pct
2010-10-16,energy,"SSGC, KRL outplay rivals in PPFL",https://www.dawn.com/news/572845/ssgc-krl-outplay-rivals-in-ppfl
2010-10-16,energy,SSGC beat PEL 3-1 to record first win in PPFL,https://www.dawn.com/news/572577/ssgc-beat-pel-3-1-and-record-first-win-in-ppfl
2010-10-20,monetary,SBP submits lists of written off loan beneficiaries,https://www.dawn.com/news/574023/sbp-submits-lists-of-written-off-loan-beneficiaries
2010-10-18,equities,New York Stock Exchange,https://www.dawn.com/news/573430/new-york-stock-exchange
2010-10-23,general_market,Gas load shedding schedule for Punjab announced,https://www.dawn.com/news/575198/gas-load-shedding-schedule-for-punjab-announced
2010-10-23,general_market,US to strive for Pakistan preferential trade program,https://www.dawn.com/news/575189/us-to-strive-for-pakistan-preferential-trade-program
2010-10-22,general_market,US offers Pakistan $2 billion in military aid: Clinton,https://www.dawn.com/news/574792/us-offers-pakistan-2-billion-in-military-aid-clinton
2010-10-22,general_market,Five injured in Islamabad gas explosion,https://www.dawn.com/news/574779/five-injured-in-islamabad-gas-explosion
2010-10-21,fiscal,Asia to lead world recovery but on hot money: IMF,https://www.dawn.com/news/574397/asia-to-lead-world-recovery-but-on-hot-money-imf
